600,600,tempo:0.167251,1700770,130159181152000
1000,1000,tempo:0.806026,10537084,94075509656592
1400,1400,tempo:4.736612,350553572,139141078392238
1800,1800,tempo:7.066847,742944693,140730968431816
2200,2200,tempo:16.288017,1431299968,140106132471552
2600,2600,tempo:37.808097,2478667547,140723578633800
3000,3000,tempo:79.765510,6041405454,106929546759184
600,600,tempo:0.166155,1546729,140730314102408
1000,1000,tempo:0.822484,10984722,131760055250350
1400,1400,tempo:4.845203,351334841,127139655839150
1800,1800,tempo:8.775292,776144377,140736893831368
2200,2200,tempo:16.648618,1495186895,140736510126600
2600,2600,tempo:40.425216,3843038039,134809269374382
3000,3000,tempo:76.968382,6951132937,139004647423744
600,600,tempo:0.168573,1378376,126487173942702
1000,1000,tempo:0.816608,10732791,140725256985864
1400,1400,tempo:4.817920,349194266,130689425063680
1800,1800,tempo:8.767028,769158332,138254303215360
2200,2200,tempo:16.657512,1524417374,137305843154688
2600,2600,tempo:38.743801,2956561585,131139511631616
3000,3000,tempo:82.598951,8253759599,99289879190536
600,600,tempo:0.167565,1396476,104156867353608
1000,1000,tempo:0.825896,10864949,107335991446536
1400,1400,tempo:4.775942,352542490,135230942453166
1800,1800,tempo:8.770831,774387721,140730698081096
2200,2200,tempo:16.691338,1532013455,124512873029038
2600,2600,tempo:38.878500,3084823240,126965891841792
3000,3000,tempo:81.711913,8005081075,139267468987822
