600,600,0.177
1000,1000,0.842
1400,1400,5.617
1800,1800,10.758
2200,2200,18.993
2600,2600,40.931
3000,3000,81.674
600,600,0.178
1000,1000,0.863
1400,1400,5.694
1800,1800,11.043
2200,2200,19.888
2600,2600,42.758
3000,3000,82.519
600,600,0.177
1000,1000,0.856
1400,1400,5.682
1800,1800,11.016
2200,2200,19.919
2600,2600,42.616
3000,3000,85.64
600,600,0.177
1000,1000,0.857
1400,1400,5.71
1800,1800,11.03
2200,2200,19.949
2600,2600,43.364
3000,3000,86.115
