600,600,tempo:0.013199,3390769,7147287
1000,1000,tempo:0.073085,15711879,32783969
1400,1400,tempo:0.240785,43450939,88102454
1800,1800,tempo:0.553784,93541004,184287821
2200,2200,tempo:1.013451,258732259,333157134
2600,2600,tempo:1.674428,549808140,546652575
3000,3000,tempo:2.832102,845411636,841865157
4096,4096,tempo:8.618179,2194919651,2072321001
6144,6144,tempo:29.800208,7435791042,7001363917
8192,8192,tempo:70.051675,17477249286,17237132233
10240,10240,tempo:145.655235,34419455593,32814597735
600,600,tempo:0.013257,3390699,7283606
1000,1000,tempo:0.078857,15714901,33128956
1400,1400,tempo:0.232446,43453693,88238523
1800,1800,tempo:0.542470,93546191,184484075
2200,2200,tempo:0.999503,258687419,336199229
2600,2600,tempo:1.792990,549764544,540410326
3000,3000,tempo:3.325185,845437501,819518864
4096,4096,tempo:7.395914,2198952702,2139881671
6144,6144,tempo:28.538462,7437466244,7060967823
8192,8192,tempo:71.838240,17475271148,17217089250
10240,10240,tempo:143.690504,34419281229,32743281263
600,600,tempo:0.013376,3390507,7138243
1000,1000,tempo:0.083381,15718571,32646548
1400,1400,tempo:0.238556,43459421,87527603
1800,1800,tempo:0.540839,93547615,185212532
2200,2200,tempo:1.005408,258705495,334627641
2600,2600,tempo:1.655946,549860053,550324524
3000,3000,tempo:2.627957,845408019,844996335
4096,4096,tempo:7.943636,2197891617,2119889357
6144,6144,tempo:25.576535,7446166270,7277702365
8192,8192,tempo:69.809296,17477108305,17286990540
10240,10240,tempo:143.060065,34402040003,33122506755
600,600,tempo:0.014615,3390451,7135998
1000,1000,tempo:0.070935,15710576,33352317
1400,1400,tempo:0.237476,43452702,88482946
1800,1800,tempo:0.585160,93546438,187276300
2200,2200,tempo:1.110778,258839535,339567326
2600,2600,tempo:1.794036,549883618,558755192
3000,3000,tempo:2.742760,845410370,859153402
4096,4096,tempo:7.315459,2202883654,2191457447
6144,6144,tempo:26.251688,7446625858,7319004176
8192,8192,tempo:68.462899,17481352351,17325478015
10240,10240,tempo:135.897114,34435791736,33723938750
600,600,tempo:0.014983,3391680,7157861
1000,1000,tempo:0.068986,15713532,33171381
1400,1400,tempo:0.330937,43453069,86898616
1800,1800,tempo:0.843998,93553741,181153721
2200,2200,tempo:1.399718,258632979,326963106
2600,2600,tempo:2.272062,549810452,547745380
3000,3000,tempo:3.478946,845426427,837588710
4096,4096,tempo:7.246400,2202693843,2181248886
6144,6144,tempo:26.028668,7452367450,7320720436
8192,8192,tempo:68.650430,17483118792,17298955014
10240,10240,tempo:139.508882,34437599162,33208248801
600,600,tempo:0.014665,3390787,7186159
1000,1000,tempo:0.066971,15711118,33451309
1400,1400,tempo:0.254577,43453284,88999314
1800,1800,tempo:0.587364,93544791,185926197
2200,2200,tempo:1.066928,258832835,339703471
2600,2600,tempo:1.768590,549882392,563484162
3000,3000,tempo:2.991973,845306074,847450902
4096,4096,tempo:7.210515,2203452910,2197370251
6144,6144,tempo:28.069747,7436962170,7226388242
8192,8192,tempo:67.641412,17483043608,17379263493
10240,10240,tempo:149.597773,34418955764,32767375169
600,600,tempo:0.014860,3390978,7146095
1000,1000,tempo:0.066127,15710731,32880999
1400,1400,tempo:0.249361,43451760,87856882
1800,1800,tempo:0.578184,93543264,188817267
2200,2200,tempo:1.072135,258878385,341872172
2600,2600,tempo:1.788090,549882017,563035563
3000,3000,tempo:2.777603,845414105,860133160
4096,4096,tempo:7.907045,2200611314,2178382645
6144,6144,tempo:25.881600,7455589093,7318688464
8192,8192,tempo:68.466773,17480854898,17317097896
10240,10240,tempo:143.686128,34429767483,33230222664
600,600,tempo:0.014581,3392639,7153407
1000,1000,tempo:0.071601,15713254,32811476
1400,1400,tempo:0.241397,43460256,88027979
1800,1800,tempo:0.579101,93542305,188010408
2200,2200,tempo:1.154020,258681161,336125404
2600,2600,tempo:1.788470,549891784,563117279
3000,3000,tempo:2.752418,845426882,863446141
4096,4096,tempo:7.396923,2201397538,2188012870
6144,6144,tempo:26.751058,7450754825,7318486881
8192,8192,tempo:72.195716,17475624944,17126664128
10240,10240,tempo:165.657394,34392660324,32153849074
600,600,tempo:0.014509,3390598,7121194
1000,1000,tempo:0.067412,15711612,33416501
1400,1400,tempo:0.243654,43455496,87613743
1800,1800,tempo:0.551567,93545836,185851128
2200,2200,tempo:1.033383,258721093,336544293
2600,2600,tempo:1.808795,549856255,554277588
3000,3000,tempo:2.882786,845425859,859214713
4096,4096,tempo:9.285538,2198959995,2114262268
6144,6144,tempo:30.309278,7437917197,7146474199
8192,8192,tempo:76.098349,17471812322,17027953026
10240,10240,tempo:144.931444,34423565320,33257611195
600,600,tempo:0.014869,3390429,7267799
1000,1000,tempo:0.066872,15711584,32890277
1400,1400,tempo:0.240080,43461106,87874095
1800,1800,tempo:0.590831,93542134,185206660
2200,2200,tempo:1.082301,258840484,340776085
2600,2600,tempo:1.801940,549863570,561486470
