600,600,0.013211,3391188,7114782,140726194218032
1000,1000,0.080178,15724032,32432531,140729672027824
1400,1400,0.291569,43486214,87280275,140728922190672
1800,1800,0.634244,93584856,182928608,140730710059328
2200,2200,1.764659,258409714,309276940,140729940104112
2600,2600,2.241566,549860974,528921029,140725667210640
3000,3000,3.082246,845738703,839554225,140735656737584
4096,4096,8.504985,2218714775,2099240706,140728378227440
6144,6144,36.168306,7500289713,6913484446,140730224114736
8192,8192,117.632066,17480332932,15403824553,140723544052832
10240,10240,201.189402,34644635104,30643230351,140729869547664
