4096,4096,128,36.058847,9608374627,33524620119
4096,4096,256,34.934473,9143562148,23256297013
4096,4096,512,39.054162,8755895471,18986816283
6144,6144,128,121.432121,32996566799,112880551134
6144,6144,256,110.548707,30804675002,79515544095
6144,6144,512,110.742850,29568518218,66187055145
8192,8192,128,287.774055,74775943115,258050428484
8192,8192,256,428.888288,72026843809,165980338930
8192,8192,512,359.185317,70402168110,144218329747
10240,10240,128,571.602089,152796906557,522265336070
10240,10240,256,518.120885,142832081687,362667929311
10240,10240,512,515.100021,136730887639,305334533514
